exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"tmean_lag120, tmean_lag90, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5687.1491213611225,-5657.3053335229815,0.1544158402143136,0.1403006972861841
"tmean_lag150, tmean_lag105, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5688.752857212676,-5650.3822728493515,0.15444691644173872,0.14032883778363292
"tmean_lag135, tmean_lag150, tmean_lag105, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5687.168213455569,-5644.534230829652,0.15445544025234437,0.14033967687696935
"tmean_lag135, tmean_lag120, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5687.595101989338,-5657.751314151197,0.15451067303850155,0.14037627231147976
"tmean_lag135, tmean_lag120, tmean_lag90, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5685.3021065246385,-5651.194920423905,0.1545543346752636,0.14042212467435677
"tmean_lag135, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5685.113357353416,-5638.215976464909,0.15457264955074898,0.14045518862186404
"tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5686.692838271614,-5644.058855645698,0.15458268091232896,0.14045989513992502
"tmean_lag135, tmean_lag150, tmean_lag105, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5689.347307043579,-5650.976722680255,0.15462775256468878,0.14048890510427475
"tmean_lag150, tmean_lag105, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5690.93308222132,-5656.825896120587,0.15463936990709432,0.1404952903744061
"tmean_lag135, tmean_lag90, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5681.529639131484,-5647.422453030751,0.15464554871151562,0.14051229808686316
"tmean_lag135, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5683.594208769147,-5653.750420931006,0.154687189729825,0.14053718058676856
"tmean_lag120, tmean_lag150, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5688.138233269017,-5654.031047168284,0.15468937881102912,0.14051393118987543
"tmean_lag135, tmean_lag150, tmean_lag105, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5688.550939745666,-5650.180355382342,0.15470010387183955,0.14055844979818682
"tmean_lag150, tmean_lag105, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5690.000092745564,-5655.892906644831,0.15470069346146284,0.1405548520117573
"tmean_lag135, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5687.287194468768,-5644.653211842851,0.15472098592411448,0.1405848435178012
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5686.111714721839,-5647.741130358515,0.1547257426752598,0.14054502472809646
"tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5688.866447682382,-5650.495863319058,0.15474481570861143,0.14060135771874827
"tmean_lag135, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5685.862528837028,-5660.282139261478,0.15475571746244446,0.1406026551666894
"tmean_lag135, tmean_lag90, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5683.52020682868,-5653.676418990539,0.1548049727862188,0.14065176952316166
"tmean_lag120, tmean_lag150, tmean_lag90, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5686.022889751046,-5647.652305387722,0.154849532418298,0.14065957816179003
"tmean_lag135, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5686.508581520122,-5643.8745988942055,0.15485422589526512,0.14070566874146584
"tmean_lag120, tmean_lag150, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5686.445472433856,-5648.074888070531,0.15487252621499387,0.1406598280544276
"tmean_lag135, tmean_lag150, tmean_lag105, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5690.725983328237,-5656.618797227504,0.15487407996493688,0.14070885561334318
"tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5687.955766402324,-5649.585182039,0.15487778433115448,0.1407211675131523
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag90, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5683.998291131733,-5641.364308505817,0.15489132535413175,0.1406954654940055
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5684.392704099043,-5641.758721473127,0.15491008919462626,0.14069204320740647
"tmean_lag120, tmean_lag150, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5690.070113858935,-5660.226326020794,0.15492950565270744,0.14072172499059252
